

,1 (LAMPEXP),1983.91,3195.3177,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:47:55 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1982.77,3193.1061,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:35:56 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1982.19,3192.0616,1.0000,1.0000,-45.002,-0.169

Date/Time:,26-Aug-11 10:23:59 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1973.04,3170.9334,1.0000,1.0000,-45.006,-0.166

Date/Time:,26-Aug-11 10:11:59 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1980.14,3176.9642,1.0000,1.0000,-45.006,-0.173

Date/Time:,26-Aug-11 10:00:02 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1964.82,3160.1320,1.0000,1.0000,-45.003,-0.168

Date/Time:,26-Aug-11 09:48:02 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1980.88,3193.1319,1.0000,1.0000,-45.002,-0.162

Date/Time:,26-Aug-11 09:36:06 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1969.69,3171.0664,1.0000,1.0000,-45.001,-0.166

Date/Time:,26-Aug-11 09:24:07 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1972.59,3167.2396,1.0000,1.0000,-45.003,-0.165

Date/Time:,26-Aug-11 09:12:10 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1983.65,3202.5229,1.0000,1.0000,-45.001,-0.158

Date/Time:,26-Aug-11 09:00:12 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1984.37,3204.2266,1.0000,1.0000,-44.998,-0.157

Date/Time:,26-Aug-11 08:48:15 PM
Film name:,SQC Acq-SR OCD Short2 SCF
Stage group:,4X Pad0 SCF
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1975.57,3180.1571,1.0000,1.0000,-44.998,-0.153

